Bank,FIPSStateNumericCode,FIPSCountyCode,CoreBasedStatisticalAreaCode,CensusTractIdentifier,CensusTractMinorityRatioPercent,CensusTractMedFamIncomeAmount,LocalAreaMedianIncomeAmount,TotalMonthlyIncomeAmount,HUDMedianIncomeAmount,LoanAcquisitionActualUPBAmt,LTVRatioPercent,LoanPurposeType,MortgageType,ScheduledTotalPaymentCount,LoanAmortizationMaxTermMonths,MortgageLoanSellerInstType,BorrowerCount,BorrowerFirstTimeHomebuyer,Borrower1Race1Type,Borrower2Race1Type,Borrower1GenderType,Borrower2GenderType,Borrower1AgeAtApplicationYears,Borrower2AgeAtApplicationYears,PropertyUsageType,PropertyUnitCount,NoteRatePercent,NoteAmount,HousingExpenseRatioPercent,TotalDebtExpenseRatioPercent,Borrower1CreditScoreValue,Borrower2CreditScoreValue,PMICoveragePercent,EmploymentBorrowerSelfEmployed,PropertyType,MarginRatePercent,Borrower1EthnicityType,Borrower2EthnicityType,HOEPALoanStatusType
2.0,35.0,92.0,794.0,85.0,8.0,72311,64398,11110,68600,176000,80.0,1,0,360,360,1,1,1,0,8,1,4,61,998,1,1,3.75,176000,12.0,25.0,0,1,0.0,0,0.0,1.0,2,5,2
0.0,21.0,1.0,574.0,11208.0,15.201,90703,69540,4002,64800,132000,80.0,1,0,360,360,1,1,1,0,8,2,4,62,998,2,1,4.625,132000,12.08,38.94,0,1,0.0,1,0.0,1.0,2,5,2
2.0,35.0,52.0,794.0,678.0,3.0,72500,64869,6148,65700,160200,46.0,6,0,180,180,1,2,0,0,5,1,2,53,63,1,1,3.5,160200,26.0,36.0,0,1,0.0,0,0.0,1.0,2,2,2
2.0,35.0,6.0,794.0,3622.0,2.0,100435,72236,6080,73200,168000,80.0,1,0,360,360,1,2,1,0,5,1,2,24,22,1,1,3.625,168000,17.0,21.0,0,0,0.0,0,0.0,1.0,2,2,2
0.0,45.0,6.0,112.0,1595.0,5.33,68324,84290,4883,93000,124545,84.0,1,3,360,360,1,1,1,0,8,1,4,47,998,1,1,4.5,124545,18.76,39.51,0,1,0.0,1,0.0,1.0,2,5,2
0.0,45.0,6.0,112.0,1595.0,5.33,68324,84290,6701,93000,166666,102.0,1,3,360,360,1,2,0,0,5,2,1,27,30,1,1,4.5,166666,18.01,45.05,0,0,0.0,1,0.0,1.0,2,2,2
2.0,35.0,6.0,794.0,3612.0,2.0,86384,72236,5416,73200,172000,69.0,2,0,360,360,1,2,0,0,5,1,2,61,58,1,1,3.375,172000,19.0,31.0,0,1,0.0,0,6.0,1.0,2,2,2
2.0,17.0,65.0,143.0,4496.0,4.0,79120,75749,2912,80800,126000,80.0,1,0,360,360,1,1,1,0,8,1,4,26,998,1,1,3.625,126000,28.0,30.0,0,1,0.0,0,0.0,1.0,2,5,2
2.0,35.0,34.0,143.0,2651.0,9.0,79764,75749,6357,80800,132000,80.0,1,0,360,360,1,2,1,0,5,2,1,25,26,1,1,3.625,132000,15.0,33.0,0,0,0.0,0,0.0,1.0,2,2,2
0.0,6.0,1.0,313.0,8700.0,29.283,86429,90197,4933,96600,141014,95.0,2,0,240,240,1,1,1,0,8,1,4,53,998,1,1,4.375,142500,29.66,40.36,0,1,25.0,1,0.0,1.0,2,5,2
0.0,6.0,1.0,313.0,8064.0,9.283,94792,90197,17500,96600,126892,80.0,1,0,240,240,1,1,1,0,8,1,4,54,998,1,1,4.375,128000,6.63,30.76,0,1,0.0,1,0.0,1.0,2,5,2
0.0,6.0,3.0,313.0,8940.0,7.12,114920,90197,7083,96600,159090,75.0,6,0,240,240,1,1,1,0,8,1,4,32,998,1,1,4.375,160000,21.57,29.18,0,1,0.0,0,0.0,1.0,2,5,2
2.0,35.0,6.0,794.0,3638.0,4.0,69118,72236,7281,73200,144000,80.0,2,0,360,360,1,2,0,0,5,1,2,70,63,1,1,3.5,144000,12.0,27.0,0,1,0.0,1,0.0,1.0,2,2,2
2.0,35.0,10.0,143.0,1827.0,18.0,115395,75749,4281,80800,145000,80.0,2,0,360,360,1,1,0,0,8,2,4,35,998,1,1,3.75,145000,23.0,38.0,0,1,0.0,0,6.0,1.0,2,5,2
6.0,32.0,52.0,9.0,4415.0,8.121,91066,86808,6078,89900,125000,54.0,1,0,360,360,1,1,0,0,8,2,4,59,998,1,1,3.875,125000,18.27,37.06,0,1,0.0,0,0.0,1.0,2,5,2
0.0,6.0,1.0,313.0,8510.0,6.729,101226,90197,15154,96600,140000,80.0,1,0,360,360,1,2,0,0,2,2,1,61,46,1,1,4.875,140000,8.55,23.59,0,1,0.0,1,0.0,1.0,2,2,2
2.0,17.0,58.0,427.0,4841.0,16.0,52083,69748,8259,75600,153500,90.0,1,0,360,360,1,2,0,0,5,1,2,31,29,1,1,4.0,153500,15.0,41.0,0,0,25.0,0,0.0,1.0,2,2,2
6.0,32.0,31.0,614.0,1751.0,10.285,72451,71548,9430,75800,147884,90.0,1,0,360,360,1,2,1,0,5,1,2,30,26,1,1,4.25,148500,15.05,24.66,0,0,0.0,0,6.0,1.0,2,2,2
0.0,21.0,13.0,91.0,8221.0,8.769,122067,98431,6666,107800,140000,80.0,1,0,360,360,1,1,0,0,8,1,4,33,998,1,1,4.5,140000,16.52,17.59,0,1,0.0,1,5.0,1.0,2,5,2
2.0,14.0,45.0,342.0,9249.0,8.0,58942,72045,7600,77800,162000,76.0,2,0,360,360,1,1,0,0,8,2,4,45,998,1,1,3.75,162000,15.0,30.0,0,1,0.0,0,6.0,1.0,2,5,2
2.0,35.0,87.0,162.0,3906.0,2.0,83224,74750,3930,77900,150100,95.0,1,0,360,360,1,1,1,0,8,2,4,67,998,1,1,3.375,150100,24.0,28.0,0,1,30.0,0,0.0,1.0,2,5,2
6.0,32.0,69.0,614.0,5989.0,4.022,58477,71548,6917,75800,152000,80.0,1,0,360,360,1,1,0,0,8,1,4,45,998,2,1,3.5,152000,5.8,26.0,0,1,0.0,0,0.0,1.0,2,5,2
2.0,0.0,50.0,335.0,1736.0,26.0,85375,76948,3979,84900,152000,80.0,1,0,360,360,1,1,0,0,8,2,4,37,998,1,1,3.875,152000,24.0,25.0,0,1,0.0,0,0.0,1.0,2,5,2
0.0,21.0,16.0,785.0,9699.0,23.865,62434,83776,7084,85800,174750,75.0,6,0,240,240,1,1,1,0,8,2,4,40,998,1,1,4.75,174750,20.9,34.14,0,1,0.0,1,0.0,1.0,2,5,2
6.0,6.0,3.0,313.0,9428.0,8.472,76605,92999,13006,98400,168000,80.0,1,0,360,360,1,1,0,0,8,1,4,61,998,1,1,3.5,168000,8.56,18.1,0,1,0.0,0,0.0,1.0,2,5,2
6.0,32.0,61.0,346.0,112.0,18.09,84583,78504,8203,83900,169791,100.0,1,2,360,360,1,2,1,0,5,1,2,42,40,1,1,3.75,169791,15.47,30.53,0,0,0.0,0,0.0,1.0,1,2,2
6.0,32.0,37.0,708.0,51.0,20.286,54583,72103,3333,79500,132529,99.0,1,1,360,360,1,1,1,0,8,1,4,23,998,1,1,3.625,132529,33.49,34.24,0,1,0.0,0,0.0,1.0,2,5,2
6.0,32.0,61.0,346.0,359.0,7.379,63250,78504,3608,83900,159354,103.0,1,2,360,360,1,2,1,0,5,1,2,42,46,1,1,3.875,159354,30.9,39.43,0,0,0.0,1,11.0,1.0,2,2,2
2.0,35.0,34.0,143.0,2946.0,8.0,99536,75749,11483,80800,140403,54.0,6,0,180,180,1,2,0,0,5,2,1,64,65,1,1,3.5,141000,14.0,29.0,0,1,0.0,0,0.0,1.0,2,2,2
2.0,17.0,65.0,143.0,4494.0,8.0,56406,75749,4056,80800,129700,77.0,6,0,360,360,1,2,0,0,5,2,1,24,24,1,1,3.5,129700,22.0,30.0,0,0,0.0,0,0.0,1.0,2,2,2
0.0,21.0,14.0,91.0,8924.0,3.972,96290,98431,2955,107800,140000,59.0,1,0,240,240,1,1,1,0,8,1,4,31,998,1,1,4.375,140000,49.49,49.49,0,1,0.0,1,0.0,1.0,2,5,2
0.0,21.0,7.0,691.0,10343.0,8.964,90110,69235,13820,73900,165000,69.0,2,0,360,360,1,2,1,0,5,1,2,75,62,1,1,4.625,165000,9.67,24.69,0,1,0.0,0,0.0,1.0,2,2,2
0.0,21.0,7.0,691.0,10065.0,52.988,53500,69235,8261,73900,145000,69.0,6,0,360,360,1,1,1,0,8,1,4,51,998,1,1,4.375,145000,14.51,28.83,0,1,0.0,1,0.0,1.0,2,5,2
2.0,17.0,37.0,414.0,674.0,20.0,124345,70502,5236,74500,162500,57.0,2,0,360,360,1,1,0,0,8,2,4,39,998,1,1,3.625,162500,21.0,26.0,0,1,0.0,0,0.0,1.0,2,5,2
0.0,19.0,19.0,583.0,3377.0,4.706,72643,76445,3621,90100,163000,74.0,6,0,360,360,1,1,1,0,8,1,4,33,998,1,1,5.25,163000,34.11,47.56,0,1,0.0,1,0.0,1.0,2,5,2
6.0,32.0,37.0,708.0,2341.0,6.695,114007,72103,9391,79500,128000,80.0,1,0,360,360,1,1,0,0,8,1,4,45,998,1,1,3.75,128000,12.08,32.8,0,1,0.0,0,0.0,1.0,2,5,2
0.0,21.0,3.0,745.0,6419.0,17.451,96714,92514,3189,92700,167461,40.0,1,0,360,360,1,1,0,0,8,2,4,69,998,1,1,4.0,170500,38.08,41.94,0,1,0.0,1,0.0,1.0,2,5,2
6.0,32.0,39.0,587.0,1706.0,13.923,99837,87066,6522,92900,175000,65.0,6,0,240,240,1,2,0,0,5,2,1,36,53,1,1,3.75,175000,24.9,28.81,0,1,0.0,1,0.0,1.0,2,2,2
2.0,35.0,87.0,162.0,3953.0,3.0,94375,74750,12385,77900,140000,29.0,2,0,360,360,1,2,0,0,5,1,2,64,62,1,1,3.5,140000,6.0,6.0,0,1,0.0,0,0.0,1.0,2,2,2
2.0,35.0,28.0,162.0,1027.0,22.0,72407,74750,6085,77900,143200,80.0,6,0,360,360,1,1,0,0,8,1,4,41,998,1,1,4.125,143200,22.0,37.0,0,1,0.0,1,5.0,1.0,2,5,2
6.0,32.0,26.0,762.0,4425.0,4.635,73050,59488,4280,58600,141600,80.0,1,0,360,360,1,2,1,0,8,1,4,31,998,1,1,3.5,141600,23.43,31.74,0,1,0.0,0,0.0,1.0,2,5,2
6.0,32.0,26.0,762.0,4314.0,11.993,57483,59488,3970,58600,130625,95.0,1,0,360,360,1,2,1,0,5,1,2,37,38,1,1,3.5,130625,22.69,31.09,0,0,30.0,0,0.0,1.0,2,2,2
2.0,17.0,65.0,143.0,4480.0,5.0,81082,75749,7183,80800,130000,57.0,2,0,360,360,1,2,0,0,5,1,2,66,60,1,1,3.625,130000,13.0,25.0,0,0,0.0,0,0.0,1.0,2,2,2
0.0,21.0,7.0,691.0,10352.0,4.631,75221,69235,3333,73900,137750,95.0,1,0,360,360,1,1,0,0,8,1,4,30,998,1,1,4.625,137750,29.0,29.75,0,1,30.0,1,0.0,1.0,2,5,2
6.0,32.0,26.0,762.0,4314.0,11.993,57483,59488,4613,58600,135000,73.0,2,0,240,240,1,1,0,0,8,2,4,32,998,1,1,3.5,135000,24.67,31.6,0,1,0.0,0,0.0,1.0,2,5,2
2.0,35.0,61.0,191.0,7614.0,7.0,62000,66018,5753,70600,160000,80.0,2,0,360,360,1,1,0,0,8,2,4,39,998,1,1,3.625,160000,17.0,38.0,0,1,0.0,0,0.0,1.0,2,5,2
2.0,17.0,57.0,235.0,2651.0,9.0,75766,65660,3380,67200,124000,80.0,2,0,240,240,1,1,0,0,8,1,4,27,998,1,1,3.875,124000,31.0,31.0,0,1,0.0,0,0.0,1.0,2,5,2
